Telecamera 1, 09/02/2026, 17:32:10, STATUS: Online, Salvataggio: OK
Telecamera 2, 09/02/2026, 17:32:10, STATUS: Online, Salvataggio: OK
Telecamera 3, 09/02/2026, 17:32:10, STATUS: Online, Salvataggio: OK
Telecamera 4, 09/02/2026, 17:32:10, STATUS: Online, Salvataggio: OK
Telecamera 1, 09/02/2026, 17:32:36, STATUS: Online, Salvataggio: OK
Telecamera 2, 09/02/2026, 17:32:36, STATUS: Online, Salvataggio: OK
Telecamera 3, 09/02/2026, 17:32:36, STATUS: Online, Salvataggio: OK
Telecamera 4, 09/02/2026, 17:32:36, STATUS: Online, Salvataggio: OK
Telecamera 1, 09/02/2026, 17:34:33, STATUS: Online, Salvataggio: OK
Telecamera 2, 09/02/2026, 17:34:33, STATUS: Online, Salvataggio: OK
Telecamera 3, 09/02/2026, 17:34:33, STATUS: Online, Salvataggio: OK
Telecamera 4, 09/02/2026, 17:34:33, STATUS: Online, Salvataggio: OK
